Hindi,Telugu,Telugu(Devnagari),Telugu(WX),Tamil
अब तुम कैसा महसूस कर रहे हो,ఇప్పుడు మీరు ఫీలింగ్,इप्पुडु मीरु फीलिंग्,ippudu mIru PIliMg,
आज से दो साल पहले मिली,రెండు సంవత్సరాల కలుసుకున్నారు క్రితం,रॆंडु संवत्सराल कलुसुकुन्नारु क्रितं,reVMdu saMvawsarAla kalusukunnAru kriwaM,
आज उसने खाना नहीं खाया,నేడు ఆయన తినని,नेडु आयन तिननि,nedu Ayana winani,
आप कहाँ रहते हैं,మీరు నివసిస్తున్నారు ఎక్కడ,मीरु निवसिस्तुन्नारु ऎक्कड,mIru nivasiswunnAru eVkkada,
आप कितने वेतन की आशा रखती है,మీరు పే సంఖ్య ఆశించిన,मीरु पे संख्य आशिंचिन,mIru pe saMKya ASiMcina,
आपको कौन से खेल पसन्द करते है,ఏం మీరు వంటి గేమ్,एं मीरु वंटि गेम्,eM mIru vaMti gem,
आप क्या ढूंढ रहे हैं,ఏం మీరు చూస్తున్న,एं मीरु चूस्तुन्न,eM mIru cUswunna,
आप क्या पढ़ते हैं,మీరు చదివిన,मीरु चदिविन,mIru caxivina,
आप क्यों तकलीफ़ करते हैं,ఎందుకు మీరు ఇబ్బంది చేయండి,ऎंदुकु मीरु इब्बंदि चेयंडि,eVMxuku mIru ibbaMxi ceyaMdi,
आपने आज क्या किया,నేడు మీరు ఏం చేసావ్,नेडु मीरु एं चेसाव्,nedu mIru eM cesAv,
आप उनसे कब मिलना चाहते हैं,మీరు అతనిని కలుసుకోవాలనుకోవడం,मीरु अतनिनि कलुसुकोवालनुकोवडं,mIru awanini kalusukovAlanukovadaM,
अध्यापक अभी आये है,టీచర్స్ ఇప్పటికీ వచ్చి,टीचर्स् इप्पटिकी वच्चि,tIcars ippatikI vacci,
बच्चा क्यों रोता है,బేబీ ఎందుకు ఏడుస్తున్నావు,बेबी ऎंदुकु एडुस्तुन्नावु,bebI eVMxuku eduswunnAvu,
बढ़ई ने एक सुन्दर कुर्सी बनाई है,కార్పెంటర్ ఒక అందమైన కుర్చీ సృష్టించింది,कार्पॆंटर् ऒक अंदमॆॖन कुर्ची सृष्टिंचिंदि,kArpeVMtar oVka aMxameVna kurcI sqRtiMciMxi,
बेटों ने उसमें बीज बो दिया,విత్తనాలు విత్తిన సన్స్,वित्तनालु वित्तिन सन्स्,viwwanAlu viwwina sans,
बिल्ली ने कितना दूध पिया है,క్యాట్ చాలా పాలు ఉంది,क्याट् चाला पालु उंदि,kyAt cAlA pAlu uMxi,
डाइटिंग कर रही हो क्या,మీరు ఆహార నియంత్రణ ఏం చేస్తున్నారు,मीरु आहार नियंत्रण एं चेस्तुन्नारु,mIru AhAra niyaMwraNa eM ceswunnAru,
एक बूढ़ा आदमी था,ఒక పాత మనిషి ఉంది,ऒक पात मनिषि उंदि,oVka pAwa maniRi uMxi,
एक बूढ़ी औरत था,పాత మహిళ,पात महिळ,pAwa mahilYa,
गाय घास खती है,ఆవు గడ్డి ఋణం పిట్,आवु गड्डि ऋणं पिट्,Avu gaddi qNaM pit,
गीत किसने गाया,"పాడారు సాంగ్,","पाडारु सांग्,","pAdAru sAMg,",
गोविन्द अपना पाठ याद कर चुका है,గోవింద్ వారి పాఠాలు ఉంది,गोविंद् वारि पाठालु उंदि,goviMx vAri pATAlu uMxi,
हमने मैच जीत लिया,మేము మ్యాచ్ గెలిచింది,मेमु म्याच् गॆलिचिंदि,memu myAc geVliciMxi,
हमारे प्रधानमन्त्री ने कल कश्मीर का दौरा किया,మా ప్రధాని కాశ్మీర్ సందర్శించారు,मा प्रधानि काश्मीर् संदर्शिंचारु,mA praXAni kASmIr saMxarSiMcAru,
हरी कल मुम्बई जा रहा है,గ్రీన్ రేపు ముంబై అన్నారు,ग्रीन् रेपु मुंबॆॖ अन्नारु,grIn repu muMbeV annAru,
जाऔ,Jaaw,Jaaw,Jaaw,
कक्षा में बहुत छात्र हैं,తరగతి లో అనేక మంది విద్యార్థులు,तरगति लो अनेक मंदि विद्यार्थुलु,waragawi lo aneka maMxi vixyArWulu,
कक्षा में कौन रो रह हइ,ఎవరు నివసిస్తున్న క్రై హాయ్ క్లాస్,ऎवरु निवसिस्तुन्न क्रॆॖ हाय् क्लास्,eVvaru nivasiswunna kreV hAy klAs,
कल मैच कौन जीता,ఏ మ్యాచ్ నిన్న గెలిచింది,ए म्याच् निन्न गॆलिचिंदि,e myAc ninna geVliciMxi,
कल तुम इस समय गाड़ी में यात्रा कर रहे होगे,రేపు మీరు కారులో ప్రయాణించే ఉంటుంది,रेपु मीरु कारुलो प्रयाणिंचे उंटुंदि,repu mIru kArulo prayANiMce uMtuMxi,
