Hindi,csv file,Telugu,Telugu(WX),morph
अब तुम कैसा महसूस कर रहे हो,aba_wuma_kEsA_mahasUsa_kara_rahe_ho_20_05_2017_user.csv,ఇప్పుడు మీకు ఎలా అనిపిస్తుంది,ippudu mIku eVlA anipiswuMxi,"1	ippudu	unk	<fs af='ippudu,adv,,,,,0,0_adv'>
2	mIku	unk	<fs af='mIru,pn,any,pl,2,,ki,ki'>
3	eVlA	unk	<fs af='eVlA,avy,,,,,0,0_avy'>|<fs af='eV,n,,sg,,,lA,lA'>
4	anipiswuMxi	unk	<fs af='anipiMcu,v,fn,sg,3,,wA,wA'>|<fs af='anipiMcu,v,fn,sg,3,,wA,wA'>
"
आज से दो साल पहले मिली,,ఈ రోజు నుంచి రెండు సంవత్సరాల ముందు కలిసింది,I roju nuMci reVMdu saMvawsarAla muMxu kalisiMxi,
आज उसने खाना नहीं खाया,,ఈ రోజు అతను అన్నం తినలేదు,I roju awanu annaM winalexu,
आप कहाँ रहते हैं,,మీరు ఎక్కడ ఉంటారు,mIru eVkkada uMtAru,
आप कितने वेतन की आशा रखती है,,మీరు ఎంత జీతం ఆశిస్తున్నారు,mIru eVMwa jIwaM ASiswunnAru,
आपको कौन से खेल पसन्द करते है,,?,?,
आप क्या ढूंढ रहे हैं,,మీరు ఏం వెతుకుతున్నారు,mIru eM veVwukuwunnAru,
आप क्या पढ़ते हैं,,మీరు ఏం చదువుతారు,mIru eM caxuvuwAru,
आप क्यों तकलीफ़ करते हैं,,మీకు ఎందుకు ఇబ్బంది ?,mIku eVMxuku ibbaMxi ?,
आपने आज क्या किया,,మీరు ఈ రోజు ఏం చేశారు,mIru I roju eM ceSAru,
आप उनसे कब मिलना चाहते हैं,,మీరు ఆయనని ఎప్పుడు కలవాలని అనుకుంటున్నారు,mIru Ayanani eVppudu kalavAlani anukuMtunnAru,
अध्यापक अभी आये है,,ఉపాధ్యాయుడు ఇప్పుడే వచ్చారు,upAXyAyudu ippude vaccAru,
बच्चा क्यों रोता है,,పిల్లవాడు ఎందుకు ఏడుస్తాడు,pillavAdu eVMxuku eduswAdu,
बढ़ई ने एक सुन्दर कुर्सी बनाई है,,వడ్రంగి ఒక అందమైన కుర్చీ తయారు చేశాడు,vadraMgi oVka aMxamEna kurcI wayAru ceSAdu,
बेटों ने उसमें बीज बो दिया,,కొడుకులు దానిలో విత్తనాలు నాటేశారు,koVdukulu xAnilo viwwanAlu nAteSAru,
बिल्ली ने कितना दूध पिया है,,పిల్లి ఎన్ని పాలు తాగింది,pilli eVnni pAlu wAgiMxi,
डाइटिंग कर रही हो क्या,,డయిటింగ్ చేస్తున్నావా,dayitiMg ceswunnAvA,
एक बूढ़ा आदमी था,,ఒక ముసలి వ్యక్తి ఉండేవాడు,oVka musali vyakwi uMdevAdu,
एक बूढ़ी औरत था,,?,?,
गाय घास खती है,,ఆవు గడ్డి మేస్తుంది,Avu gaddi meswuMxi,
गीत किसने गाया,,పాట ఎవరు పాడారు,pAta eVvaru pAdAru,
गोविन्द अपना पाठ याद कर चुका है,,గోవింద్ తన పాఠాన్ని నేర్చేసుకున్నాడు,goviMx wana pATAnni nercesukunnAdu,
हमने मैच जीत लिया,,మేం మ్యాచ్ గెలిచేశాం,meM myAc geVliceSAM,
हमारे प्रधानमन्त्री ने कल कश्मीर का दौरा किया,,మన ప్రధాన మంత్రి నిన్న కాశ్మీరు పర్యటించారు,mana praXAna maMwri ninna kASmIru paryatiMcAru,
हरी कल मुम्बई जा रहा है,,హరీ రేపు ముంబాయి వెళ్తున్నాడు,harI repu muMbAyi veVlYwunnAdu,
जाऔ,,?,?,
कक्षा में बहुत छात्र हैं,,తరగతి లో చాలా మంది విద్యార్థులు ఉన్నారు,waragawi lo cAlA maMxi vixyArWulu unnAru,
कक्षा में कौन रो रह हइ,,?,?,
कल मैच कौन जीता,,నిన్న మ్యాచ్ ఎవరు గెలిచారు,ninna myAc eVvaru geVlicAru,
कल तुम इस समय गाड़ी में यात्रा कर रहे होगे,,రేపు మీరు ఈ సమయానికి కారులో ప్రయాణిస్తూ ఉంటారు,repu mIru I samayAniki kArulo prayANiswU uMtAru,
क्या अब आपने वहाँ नौकरी छोड़ दी,,ఇప్పుడు మీరు అక్కడ ఉద్యోగం మానేశారా,ippudu mIru akkada uxyogaM mAneSArA,
क्या आप आरम करना चाहते हैं,,?,?,
क्या आप हमारे साथ बैठेंगे,,మీరు మాతో కూర్చుంటారా,mIru mAwo kUrcuMtArA,
क्या आप नमुने लायें है,,?,?,
