Hindi,Telugu,Telugu(Devnagari),Telugu(WX),Tamil
अब तुम कैसा महसूस कर रहे हो,ఇప్పుడు మీరు ఫీలింగ్,इप्पुडु मीरु फीलिंग्,ippudu mIru PIliMg,ఇప్పుడు మీకు ఎలా అనిపిస్తుంది,
आज से दो साल पहले मिली,రెండు సంవత్సరాల కలుసుకున్నారు క్రితం,रॆंडु संवत्सराल कलुसुकुन्नारु क्रितं,reVMdu saMvawsarAla kalusukunnAru kriwaM,ఈ రోజు నుంచి రెండు సంవత్సరాల ముందు కలిసింది,
आज उसने खाना नहीं खाया,నేడు ఆయన తినని,नेडु आयन तिननि,nedu Ayana winani,ఈ రోజు అతను అన్నం తినలేదు,
आप कहाँ रहते हैं,మీరు నివసిస్తున్నారు ఎక్కడ,मीरु निवसिस्तुन्नारु ऎक्कड,mIru nivasiswunnAru eVkkada,మీరు ఎక్కడ ఉంటారు,
आप कितने वेतन की आशा रखती है,మీరు పే సంఖ్య ఆశించిన,मीरु पे संख्य आशिंचिन,mIru pe saMKya ASiMcina,మీరు ఎంత జీతం ఆశిస్తున్నారు,
आपको कौन से खेल पसन्द करते है,ఏం మీరు వంటి గేమ్,एं मीरु वंटि गेम्,eM mIru vaMti gem,?
आप क्या ढूंढ रहे हैं,ఏం మీరు చూస్తున్న,एं मीरु चूस्तुन्न,eM mIru cUswunna,మీరు ఏం వెతుకుతున్నారు,
आप क्या पढ़ते हैं,మీరు చదివిన,मीरु चदिविन,mIru caxivina,మీరు ఏం చదువుతారు,
आप क्यों तकलीफ़ करते हैं,ఎందుకు మీరు ఇబ్బంది చేయండి,ऎंदुकु मीरु इब्बंदि चेयंडि,eVMxuku mIru ibbaMxi ceyaMdi,మీకు ఎందుకు ఇబ్బంది ?
आपने आज क्या किया,నేడు మీరు ఏం చేసావ్,नेडु मीरु एं चेसाव्,nedu mIru eM cesAv,మీరు ఈ రోజు ఏం చేశారు,
